timestamp,celsius,fahrenheit
2026-05-08 11:46:36,20.750,69.350
2026-05-08 11:47:07,20.750,69.350
2026-05-08 11:47:40,20.750,69.350
2026-05-08 11:48:11,20.750,69.350
2026-05-08 11:48:43,20.750,69.350
2026-05-08 11:49:14,20.750,69.350
2026-05-08 11:49:46,20.750,69.350n
2026-05-08 11:50:17,20.750,69.350
2026-05-08 11:50:49,20.750,69.350
2026-05-08 13:03:06,20.437,68.787
2026-05-08 13:03:37,20.437,68.787
2026-05-08 13:04:09,20.437,68.787
2026-05-08 13:04:40,20.437,68.787
2026-05-08 13:05:12,20.437,68.787
2026-05-08 13:05:43,20.437,68.787
2026-05-08 13:06:14,20.437,68.787
2026-05-08 13:06:46,20.437,68.787
2026-05-08 13:07:17,20.437,68.787
2026-05-08 13:07:49,20.437,68.787
2026-05-08 13:08:21,20.437,68.787
2026-05-08 13:08:52,20.375,68.675
2026-05-08 13:09:24,20.437,68.787
2026-05-08 13:09:55,20.375,68.675
2026-05-08 13:10:26,20.437,68.787
2026-05-08 13:10:58,20.375,68.675
2026-05-08 13:11:29,20.375,68.675
2026-05-08 13:12:01,20.375,68.675
2026-05-08 13:12:32,20.375,68.675
2026-05-08 13:13:04,20.375,68.675
2026-05-08 13:13:36,20.375,68.675
2026-05-08 13:14:07,20.375,68.675
2026-05-08 13:14:38,20.375,68.675
2026-05-08 13:15:10,20.375,68.675
2026-05-08 13:15:41,20.375,68.675
2026-05-08 13:16:13,20.375,68.675
2026-05-08 13:16:44,20.375,68.675
2026-05-08 13:17:16,20.375,68.675
2026-05-08 13:17:47,20.375,68.675
2026-05-08 13:18:19,20.375,68.675
2026-05-08 13:18:51,20.375,68.675
2026-05-08 13:19:22,20.375,68.675
2026-05-08 13:19:54,20.375,68.675
2026-05-08 13:42:00,21.250,70.250
2026-05-08 13:42:31,21.250,70.250
2026-05-08 13:46:06,23.437,74.187
2026-05-08 13:46:38,23.375,74.075
2026-05-08 13:47:09,23.437,74.187
2026-05-08 13:47:41,23.187,73.737
2026-05-08 13:48:12,23.000,73.400
2026-05-08 13:48:43,22.875,73.175
2026-05-08 13:49:15,22.625,72.725
2026-05-08 13:49:47,22.375,72.275
2026-05-08 13:50:18,22.125,71.825
2026-05-08 13:50:50,21.937,71.487
